ACCESSION	IRa_REPORTED	IRa_REPORTED_START	IRa_REPORTED_END	IRa_REPORTED_LENGTH	IRb_REPORTED	IRb_REPORTED_START	IRb_REPORTED_END	IRb_REPORTED_LENGTH
MH324448	yes	132444	158852	26409	yes	87664	113752	26089
HG515536	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH509384	yes	128659	155410	26752	yes	84491	111252	26762
KY363332	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN068260	yes	133488	159864	26377	yes	87829	114205	26377
KX954615	yes	135083	160807	25725	yes	90395	116119	25725
KX085497	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF746379	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY100263	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY312849	yes	133120	159157	26038	yes	88526	114563	26038
MH325022	yes	80391	84697	4307	yes	101953	106259	4307
MH188299	yes	134331	160353	26023	yes	89932	115954	26023
MF807947	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG008307	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN732560	yes	121942	147715	25774	yes	84095	109868	25774
MG914655	yes	129486	155855	26370	yes	84608	110977	26370
KC912691	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406748	yes	132122	158177	26056	yes	87585	113667	26083
MK397871	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX911971	yes	135381	161225	25845	yes	90536	116380	25845
MH817867	yes	86635	112377	25743	yes	129929	155671	25743
JN867577	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LC005977	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY753133	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN068261	yes	133462	159838	26377	yes	87849	114225	26377
MH221158	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY100264	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF746380	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK117077	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX852439	yes	135097	161240	26144	yes	90427	116570	26144
KX852440	yes	135724	175646	39923	yes	91040	130962	39923
KX852441	yes	137023	176692	39670	yes	92317	131986	39670
KU168830	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP939360	yes	87445	113161	25717	yes	132938	158654	25717
MF807948	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU851961	yes	133683	160041	26359	yes	88120	114478	26359
MH188300	yes	135078	161164	26087	yes	90478	116564	26087
MG008308	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT962039	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF593121	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY346511	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406750	yes	130924	156945	26022	yes	86654	112607	25954
KX911972	yes	135298	161156	25859	yes	90442	116300	25859
MK397872	yes	132001	158255	26255	yes	87117	113371	26255
MH817868	yes	86555	112268	25714	yes	130084	155797	25714
MN068262	yes	133540	159916	26377	yes	87883	114259	26377
KY100265	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF746381	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK140656	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU821703	yes	130544	155760	25217	yes	87004	112220	25217
DQ673255	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG523994	yes	115546	137513	21968	yes	80964	102931	21968
MH074864	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC912693	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF593122	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT962040	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG008309	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH188301	yes	133737	159780	26044	yes	89264	115307	26044
KY346512	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406751	yes	130533	156590	26058	yes	86157	112239	26083
MH817869	yes	86622	112334	25713	yes	130141	155853	25713
JN867579	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN068263	yes	133200	159575	26376	yes	87802	114177	26376
MK397873	yes	128690	153651	24962	yes	85563	110477	24915
KY100267	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX014626	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF746382	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT153018	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC912694	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG523995	yes	123025	152184	29160	yes	81381	110540	29160
KR822684	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF997465	yes	134606	160193	25588	yes	89054	114641	25588
KU310932	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF593123	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH074865	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG008310	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX683282	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH188302	yes	134525	160585	26061	yes	90030	116090	26061
KY406752	yes	130869	156926	26058	yes	86485	112559	26075
JN867580	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817870	yes	86338	112041	25704	yes	129874	155574	25701
MN068264	yes	132701	159097	26397	yes	86866	113262	26397
MH260704	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY100268	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397874	yes	130216	155596	25381	yes	86150	111530	25381
KF746383	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY985237	yes	87249	116212	28964	yes	132388	161351	28964
MG523996	yes	125719	157521	31803	yes	81302	113104	31803
MF593124	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU975374	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF716521	yes	131531	158572	27042	yes	85682	113330	27649
KT223569	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG008311	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH332770	yes	130548	156591	26044	yes	85738	111781	26044
MH188303	yes	134368	160397	26030	yes	89807	115836	26030
KR822685	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406753	yes	130876	156933	26058	yes	86487	112561	26075
MN047448	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY828438	yes	1	108335	108335	no	n.a.	n.a.	n.a.
JN867581	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN068265	yes	132711	159027	26317	yes	87043	113359	26317
MH260705	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817871	yes	88063	117771	29709	yes	131081	160789	29709
KU551262	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG772529	yes	125499	151089	25591	yes	82408	107998	25591
KY100269	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397875	yes	1	154480	25432	yes	85853	111284	25432
MF276802	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU551263	yes	134936	161877	26942	yes	88807	115748	26942
MF716522	yes	130856	158500	27645	yes	85626	113270	27645
KY432777	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG008312	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH188304	yes	134162	160174	26013	yes	89640	115652	26013
KY406754	yes	131009	157066	26058	yes	86598	112672	26075
KY887994	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JN867582	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN068266	yes	87339	113702	26364	yes	39	133085	133047
KJ629115	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG605672	yes	108678	129319	20642	yes	1	20642	20642
MH817873	yes	109129	119759	10631	yes	133000	143630	10631
MG893867	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF593126	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH252075	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR822686	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397876	yes	128349	154305	25957	yes	84606	110562	25957
KU551264	yes	132107	159019	26913	yes	86378	113290	26913
KY432778	yes	114972	136606	21635	yes	80623	102249	21627
MF716523	yes	130779	158423	27645	yes	85608	113252	27645
MG008313	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406756	yes	131012	157065	26054	yes	86605	112675	26071
MH817874	yes	87498	119092	31595	yes	130578	162185	31608
MN068267	yes	133439	159815	26377	yes	87834	114210	26377
KJ629116	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH229816	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT895904	yes	127219	153777	26559	yes	82883	109441	26559
KX154571	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU736960	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397877	yes	127671	153530	25860	yes	84221	110082	25862
KY432779	yes	117724	140453	22730	yes	82432	105160	22729
KU551265	yes	129527	157011	27485	yes	86909	114393	27485
KR822687	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG008314	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JN867584	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK801111	yes	124145	149765	25621	yes	81486	107161	25676
KY406757	yes	130784	156849	26066	yes	86403	112494	26092
KJ629117	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817875	yes	86349	112063	25715	yes	129862	155576	25715
MH229817	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF996572	yes	135143	160862	25720	yes	90441	116160	25720
KF431956	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU551266	yes	84310	106385	22076	yes	52961	75036	22076
KU736961	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY432780	yes	114799	135815	21017	yes	81127	102143	21017
MK397878	yes	129808	154651	24844	yes	84381	109224	24844
MG008315	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK875244	yes	129243	155188	25946	yes	85160	111107	25948
KU551267	yes	132809	159719	26911	yes	87044	113954	26911
KY406759	yes	130809	156828	26020	yes	86535	112567	26033
KJ625630	yes	146826	174417	27592	yes	97323	124914	27592
MN068269	yes	132522	158894	26373	yes	86817	113189	26373
MH048658	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817876	yes	86407	112123	25717	yes	129938	155654	25717
KR822688	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH229818	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH161423	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF996573	yes	134513	161127	26615	yes	89120	115734	26615
KU214867	yes	83048	105842	22795	yes	118387	141181	22795
MK361027	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH820376	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JQ248601	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF418659	yes	82418	104709	22292	yes	127981	150272	22292
KY432781	yes	114203	135668	21466	yes	80195	101660	21466
MG008316	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386363	yes	134674	160770	26097	yes	89298	115394	26097
MK397879	yes	131169	156381	25213	yes	86793	112005	25213
JN867587	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU551268	yes	69854	83190	13337	yes	51146	64482	13337
MG808039	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK353209	yes	129246	155191	25946	yes	85165	111110	25946
KY406760	yes	130713	156770	26058	yes	86308	112382	26075
MN068270	yes	133680	160099	26420	yes	88134	114553	26420
MG662125	yes	132819	158888	26070	yes	88008	114080	26073
MH229819	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817877	yes	86460	112133	25674	yes	129892	155565	25674
MN380643	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT894821	yes	84399	110051	25653	yes	127030	152682	25653
MH998383	yes	135310	161010	25701	yes	90561	116261	25701
KY432782	yes	116137	138875	22739	yes	80942	103680	22739
KR184827	yes	84025	110034	26010	yes	84025	110034	26010
MH820377	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH161424	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386364	yes	134948	161055	26108	yes	89572	115667	26096
KT726907	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397880	yes	131169	156381	25213	yes	86793	112005	25213
MK353210	yes	131020	156971	25952	yes	86674	112625	25952
KT820663	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406761	yes	131953	157604	25652	yes	87453	113163	25711
MN068271	yes	134178	160560	26383	yes	88584	114966	26383
MG662126	yes	132818	158887	26070	yes	88007	114079	26073
MN380644	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817878	yes	86634	112349	25716	yes	130148	155863	25716
KX437771	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU551270	yes	130103	156536	26434	yes	85358	111791	26434
MH998384	yes	135219	160907	25689	yes	90532	116220	25689
KX364403	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY432783	yes	115064	137797	22734	yes	79771	102504	22734
JN005831	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386365	yes	134553	160735	26183	yes	89317	115505	26189
MH820378	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH161425	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP117020	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN068272	yes	133674	160097	26424	yes	88015	114438	26424
KY406764	yes	130807	156864	26058	yes	86414	112488	26075
MK397881	yes	131169	156381	25213	yes	86793	112005	25213
MK353211	yes	131020	156971	25952	yes	86674	112625	25952
MG662127	yes	132849	158918	26070	yes	88031	114103	26073
MH817879	yes	86581	113226	26646	yes	130115	156760	26646
KX437772	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU551271	yes	130242	156978	26737	yes	85434	112170	26737
KX703002	yes	134707	160579	25873	yes	89492	115364	25873
JN005832	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY432784	yes	113717	134500	20784	yes	80286	101069	20784
KX534066	yes	128527	156074	27548	yes	84467	112015	27549
MG252262	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386366	yes	134650	160618	25969	yes	89383	115351	25969
MG779276	yes	134102	159677	25576	yes	88285	113860	25576
NC_005086	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY401421	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP117021	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH820379	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406765	yes	130837	156912	26076	yes	86446	112538	26093
MG662128	yes	133240	159300	26061	yes	88219	114281	26063
MG784458	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK353212	yes	129332	155277	25946	yes	85249	111194	25946
MK397882	yes	130002	156034	26033	yes	85713	111745	26033
KX437773	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380646	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817880	yes	86238	111945	25708	yes	129707	155414	25708
KU551272	yes	82433	110246	27814	yes	45022	72835	27814
KY987160	yes	130400	157121	26722	yes	85559	112280	26722
JN005833	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY863443	yes	129934	155548	25615	yes	85870	111484	25615
KY432785	yes	115239	137039	21801	yes	80646	102446	21801
KU736962	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH159130	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386367	yes	134277	160309	26033	yes	89514	115546	26033
MF770705	yes	87448	113536	26089	yes	131329	157417	26089
KC997777	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY401422	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG784459	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP117022	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406766	yes	132343	158410	26068	yes	87442	113568	26127
MG662129	yes	133246	159306	26061	yes	88218	114280	26063
MK503927	yes	134354	160051	25698	yes	89309	115006	25698
KT726908	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC771275	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380647	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397883	yes	26686	41069	14384	yes	1	14384	14384
KJ523886	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817881	yes	82683	112709	30027	yes	130382	160408	30027
KY432786	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KM652489	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU736963	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386368	yes	135316	161349	26034	yes	90273	116306	26034
MF695711	yes	83418	108608	25191	yes	127298	152488	25191
JN867592	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX781246	yes	1	27455	27455	yes	43671	71125	27455
KY401423	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH411147	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG662130	yes	133245	159305	26061	yes	88217	114279	26063
KY406767	yes	130909	156963	26055	yes	86599	112653	26055
MK503928	yes	133932	159612	25681	yes	88891	114571	25681
KP117023	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR336549	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380648	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG255752	yes	86231	111942	25712	yes	129725	155436	25712
MK397884	yes	1	129601	14384	yes	26599	40982	14384
MH817882	yes	86516	112152	25637	yes	129914	155550	25637
KY432787	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK033523	yes	129411	157206	27796	yes	85032	112827	27796
MG523997	yes	118407	143254	24848	yes	81083	105930	24848
MK764537	yes	122908	158163	35256	yes	87213	122468	35256
MG386369	yes	134249	160263	26015	yes	89491	115504	26014
KU821692	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY401424	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF405921	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH411148	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK503929	yes	134830	160493	25664	yes	89789	115452	25664
KY406768	yes	130995	157058	26064	yes	86594	112674	26081
MN380649	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP117024	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP211788	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397885	yes	129460	155044	25585	yes	85205	110819	25615
MG255753	yes	86459	112104	25646	yes	129918	155563	25646
MH817883	yes	86233	112235	26003	yes	129978	155980	26003
KM016695	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK033524	yes	128727	156395	27669	yes	84459	112127	27669
KY432788	yes	116080	137710	21631	yes	81645	103275	21631
MG913594	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR029092	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386370	yes	132657	158647	25991	yes	88569	114559	25991
KY401425	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH388764	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG662132	yes	133183	159242	26060	yes	88177	114239	26063
MH411149	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK503930	yes	133675	159374	25700	yes	88653	114352	25700
KY406769	yes	130322	156292	25971	yes	86023	111996	25974
MN380650	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP117025	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG891801	yes	134490	160080	25591	yes	88658	114248	25591
MG255754	yes	86817	112450	25634	yes	130360	155992	25633
MK397886	yes	1	153342	25169	yes	84965	110133	25169
MK033525	yes	128913	156551	27639	yes	84628	112266	27639
KY432789	yes	112827	133880	21054	yes	79182	100235	21054
MH817884	yes	86233	112235	26003	yes	129978	155981	26004
KX342847	yes	127712	153964	26253	yes	83671	109923	26253
KU306396	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386371	yes	132747	158787	26041	yes	88169	114209	26041
LC375846	yes	127762	154001	26240	yes	83892	110131	26240
KY401426	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH388765	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG662133	yes	133182	159241	26060	yes	88176	114238	26063
MK503931	yes	134067	159308	25242	yes	89415	114656	25242
KY412462	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH411150	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380651	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406770	yes	132464	158520	26057	yes	87529	113644	26116
KP117026	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG255755	yes	85922	111643	25722	yes	129440	155161	25722
KT726909	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397887	yes	137468	169389	31922	yes	92057	123979	31923
KY432790	yes	115221	137864	22644	yes	79713	102356	22644
KX342848	yes	127485	153746	26262	yes	83460	109721	26262
MH817885	yes	86536	112242	25707	yes	130055	155761	25707
MK109018	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386372	yes	133390	159450	26061	yes	88554	114614	26061
KX063856	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP202881	yes	122648	146951	24304	yes	85805	109498	23694
MH909777	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF508719	yes	113501	133531	20031	yes	80782	100752	19971
KF728079	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG662134	yes	133183	159223	26041	yes	88196	114239	26044
MK503932	yes	135090	160520	25431	yes	89860	115290	25431
KY412463	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH411151	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380652	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406771	yes	130817	156892	26076	yes	86425	112526	26102
KP117027	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG255756	yes	87098	112807	25710	yes	130667	156376	25710
KY432791	yes	115260	136908	21649	yes	80782	102430	21649
KT748629	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397888	yes	128186	156127	27942	yes	87083	115024	27942
MH817886	yes	86625	112353	25729	yes	130184	155912	25729
MK109019	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY646165	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH161416	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386373	yes	133341	159400	26060	yes	88517	114576	26060
KX063857	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG891802	yes	134656	160205	25550	yes	88812	114361	25550
KT445939	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG457805	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF728080	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN577863	yes	133376	159746	26371	yes	87816	114186	26371
KX247146	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG662135	yes	133181	159240	26060	yes	88175	114237	26063
MK503933	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY412464	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380653	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406772	yes	130802	156858	26057	yes	86411	112484	26074
KY859413	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY432792	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817887	yes	85853	111487	25635	yes	129279	154912	25634
MK397889	yes	131073	156574	25502	yes	87470	112971	25502
KY646166	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK109020	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG551489	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH161417	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386374	yes	132820	158888	26069	yes	87973	114040	26068
KX063858	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG891803	yes	134649	160199	25551	yes	88780	114330	25551
MN577864	yes	133132	159466	26335	yes	87480	113814	26335
MG662136	yes	133165	159231	26067	yes	88169	114238	26070
KX247147	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK089797	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380654	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY412465	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406773	yes	132284	158376	26093	yes	87278	113429	26152
MH793271	yes	84467	110113	25647	yes	127165	152811	25647
MG255758	yes	85899	111621	25723	yes	129127	154849	25723
KY432793	yes	110561	129095	18535	yes	79617	98151	18535
KY284156	yes	133130	158359	25230	yes	88717	113946	25230
KY646167	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817888	yes	86254	111962	25709	yes	129792	155500	25709
MH161418	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG386375	yes	133735	159788	26054	yes	88749	114802	26054
KU051626	yes	130186	156073	25888	yes	86621	112508	25888
MK397890	yes	1	152219	23950	yes	87941	111890	23950
KX063859	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF445415	yes	126800	152461	25662	yes	83554	109215	25662
MN577865	yes	133872	160254	26383	yes	88211	114593	26383
JX235347	yes	117139	138935	21797	yes	82633	104429	21797
MG662137	yes	133184	159243	26060	yes	88178	114240	26063
MN380655	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY412466	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY406774	yes	131967	157626	25660	yes	87474	113192	25719
MK344723	yes	127210	152678	25469	yes	84103	109571	25469
MG255759	yes	86411	112105	25695	yes	129888	155582	25695
KY432794	yes	117355	140118	22764	yes	82054	104817	22764
MH817889	yes	86469	112102	25634	yes	129871	155504	25634
MG386376	yes	133409	159461	26053	yes	88820	114872	26053
KX063860	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
